Repo Name,Unique Clones,Total Clones,Unique Views,Total Views,Referrers
github-stats,37,77,1,304,[]
delta_airports,26,39,3,212,"[Referrer(uniques=1, referrer=""github.com"", count=87), Referrer(uniques=1, referrer=""l.facebook.com"", count=10)]"
wayak-website,20,22,2,134,"[Referrer(uniques=1, referrer=""github.com"", count=63), Referrer(uniques=1, referrer=""outlook.live.com"", count=3)]"
divbull,13,16,2,13,[]
lofipython,10,12,2,33,"[Referrer(uniques=1, referrer=""github.com"", count=25)]"
restaurant-profit-projector,5,5,1,18,[]
finsou.py,3,4,2,7,"[Referrer(uniques=1, referrer=""github.com"", count=6)]"
