Repo Name,Unique Clones,Total Clones,Unique Views,Total Views,Referrers
github-stats,45,108,1,412,"[Referrer(uniques=1, referrer=""github.com"", count=364)]"
delta_airports,28,42,3,214,"[Referrer(uniques=1, referrer=""github.com"", count=97), Referrer(uniques=1, referrer=""l.facebook.com"", count=10)]"
wayak-website,22,24,5,219,"[Referrer(uniques=1, referrer=""github.com"", count=72), Referrer(uniques=1, referrer=""outlook.live.com"", count=3)]"
mas-tacos,14,24,3,47,[]
divbull,14,17,2,15,[]
restaurant-profit-projector,12,12,1,36,"[Referrer(uniques=1, referrer=""github.com"", count=25)]"
lofipython,10,12,2,33,"[Referrer(uniques=1, referrer=""github.com"", count=31)]"
unsplash-to-fb-page,10,12,2,17,[]
finsou.py,2,3,2,7,"[Referrer(uniques=1, referrer=""github.com"", count=6)]"
positivity-app,2,2,1,26,[]
